"Foreign banknotes exchange rate "
"Rates in dirhams"
Currencies;"Purchase from customers";"Sale to customers"
"1 EURO";10.0370;11.6646
"1 US  DOLLAR";9.06930;10.5399
"1 CANADIAN DOLLAR";6.66320;7.74380
"1 POUND STERLING";11.3940;13.2420
"100 NORWEGIAN KRONE";84.5140;98.2200
"100 SWEDISH KRONA";88.3000;102.620
"1 SWISS FRANC";10.2400;11.9000
"100 JAPANESE YEN";6.72890;7.82010
"1 KUWAITI DINAR";29.5990;34.3990
"1 SAUDI RIYAL";2.41810;2.81030
"1 UAE DIRHAM";2.46970;2.87010
"1 BAHREINI DINAR";24.0560;27.9580
"1 GIBRALTAR POUND";11.4020;13.2520
"1 OMANI RIAL";23.5570;27.3770
"1 QATARI RIYAL";2.48210;2.88450
